original_content,label,notes
"This is a great product! Highly recommend it to everyone.","positive","User expressed satisfaction."
"I hate this service. It was a waste of time.","negative","User expressed dissatisfaction."
"The quality is okay, but it could be better.","neutral","User provided a mixed review."
"Absolutely terrible experience! Never using this again.","negative","Strong negative feedback."
"Fantastic! Exceeded my expectations.","positive","User had a very positive experience."
"Not worth the money. I expected more.","negative","User felt the product was overpriced."
"Decent product, but the customer service was lacking.","neutral","User had a mixed experience."
"Love it! Will definitely buy again.","positive","User expressed strong satisfaction."
"Very disappointing. I wouldn't recommend it to anyone.","negative","User had a very negative experience."
"Average experience, nothing special.","neutral","User provided a neutral review."